SP100	2.031346353E9
SP101	2.034126473E9
SP102	1.833314E9
SP103	1.826652932E9
SP104	1.893650208E9
SP105	1.997275E9
SP106	2.015182322E9
SP107	2.067794325E9
SP108	1.993608E9
SP109	2.025346752E9
SP110	1.931177556E9
SP111	1.924555E9
SP112	2.145042181E9
SP113	2.093946197E9
SP114	2.011606E9
SP115	2.131813129E9
SP116	2.179426788E9
SP117	2.129205E9
SP118	2.129055957E9
SP119	2.004730513E9
SP120	2.34344E9
SP121	2.291196731E9
SP122	2.300572857E9
SP123	2.288169E9
SP124	2.186970363E9
SP125	2.38001904E9
SP126	2.42361E9
SP127	2.479105146E9
SP128	2.401896098E9
SP129	2.486303E9
SP130	2.420971377E9
SP131	2.504477118E9
SP132	2.472536E9
SP133	2.421734458E9
SP134	2.675910636E9
SP135	2.69568E9
SP136	2.567751786E9
SP137	2.608407706E9
SP138	2.694956E9
SP139	2.348758769E9
SP140	2.637525506E9
SP141	2.731593E9
SP142	2.443471459E9
SP143	2.621351331E9
SP144	2.993616E9
SP145	2.650630053E9
SP146	2.88838645E9
SP147	2.856406E9
SP148	2.677943239E9
SP149	2.733473012E9
SP150	2.552E9
SP151	3.020382664E9
SP152	2.71929789E9
SP153	2.777001E9
SP154	3.087115287E9
SP155	2.798594722E9
SP156	2.723656E9
SP157	2.750727146E9
SP158	3.317810332E9
SP159	3.045698E9
SP160	2.923448395E9
SP161	3.085154829E9
SP162	3.116826E9
SP163	3.122191512E9
SP164	2.893906979E9
SP165	2.98892E9
SP166	3.11967454E9
SP167	2.939384601E9
SP168	3.123064E9
SP169	3.178364193E9
SP170	3.192278778E9
SP171	3.357186E9
SP172	3.396234921E9
SP173	3.016676104E9
SP174	3.224916E9
SP175	3.159723611E9
SP176	3.539262776E9
SP177	2.994781E9
SP178	3.354450488E9
SP179	3.580497336E9
SP180	3.41664E9
SP181	3.543839754E9
SP182	3.423378143E9
SP183	3.263317E9
SP184	3.500580975E9
SP185	3.546345836E9
SP186	3.259402E9
SP187	3.26063923E9
SP188	3.538680156E9
SP189	3.504879E9
