KH78571,SP467,155667,134
KH13066,SP741,247000,48
KH10680,SP918,306000,144
KH45320,SP939,313000,80
KH28807,SP405,135000,128
KH13642,SP357,119000,108
KH96121,SP834,278000,115
KH65078,SP707,235667,106
KH66892,SP973,324333,144
KH74337,SP436,145333,194
KH19317,SP378,126000,86
KH54729,SP450,150000,61
KH80345,SP634,211333,5
KH63847,SP847,282333,8
KH66016,SP643,214333,146
KH14656,SP807,269000,115
KH67590,SP545,181667,40
KH16620,SP669,223000,88
KH75465,SP493,164333,195
KH18075,SP805,268333,187
KH25284,SP305,101667,108
KH44386,SP811,270333,156
KH36004,SP361,120333,45
KH75613,SP890,296667,102
KH16197,SP845,281667,178
KH32818,SP651,217000,118
KH95105,SP865,288333,55
KH38047,SP462,154000,119
KH41456,SP326,108667,66
KH85090,SP590,196667,188
KH31642,SP509,169667,5
KH65613,SP718,239333,55
KH78666,SP427,142333,169
KH86183,SP341,113667,2
KH28709,SP355,118333,159
KH23403,SP402,134000,183
KH96720,SP607,202333,63
KH95450,SP647,215667,169
KH45411,SP213,71000,96
KH67204,SP882,294000,43
KH14459,SP463,154333,66
KH93735,SP779,259667,104
KH67177,SP987,329000,85
KH18487,SP568,189333,77
KH24335,SP903,301000,15
KH25225,SP534,178000,179
KH40994,SP536,178667,124
KH76493,SP309,103000,52
KH20354,SP986,328667,52
KH53351,SP900,300000,115
KH87873,SP838,279333,61
KH51512,SP705,235000,64
KH91476,SP197,65667,93
KH97410,SP925,308333,54
KH85131,SP942,314000,70
KH29575,SP600,200000,108
KH50745,SP466,155333,65
KH83628,SP196,65333,110
KH23189,SP282,94000,183
KH63605,SP615,205000,188
KH28414,SP434,144667,166
KH73793,SP540,180000,55
KH33105,SP351,117000,19
KH21465,SP280,93333,175
KH17646,SP629,209667,150
KH80586,SP290,96667,106
KH31719,SP551,183667,124
KH68408,SP823,274333,159
KH91960,SP271,90333,46
KH31229,SP727,242333,147
KH68250,SP428,142667,166
KH81852,SP380,126667,158
KH36658,SP244,81333,24
KH89576,SP636,212000,82
KH99839,SP180,60000,140
KH88717,SP925,308333,58
KH66288,SP591,197000,166
KH83758,SP304,101333,88
KH61636,SP674,224667,198
KH78178,SP588,196000,195
KH83795,SP442,147333,156
KH64743,SP330,110000,166
KH45174,SP138,46000,115
KH56184,SP183,61000,137
KH58432,SP502,167333,189
KH57249,SP641,213667,134
KH78321,SP817,272333,161
KH59381,SP641,213667,129
KH49408,SP335,111667,130
KH40002,SP527,175667,193
KH39919,SP416,138667,33
KH64724,SP277,92333,155
KH43397,SP544,181333,107
KH82942,SP920,306667,189
KH94194,SP691,230333,59
KH90053,SP311,103667,11
KH20311,SP718,239333,170
KH47365,SP708,236000,171
KH54417,SP730,243333,180
KH10951,SP586,195333,144
KH17404,SP515,171667,37
KH96316,SP174,58000,1
KH32195,SP838,279333,71
KH60234,SP701,233667,48
KH46115,SP625,208333,148
KH57589,SP103,34333,88
KH58054,SP843,281000,105
KH94645,SP636,212000,198
KH10496,SP707,235667,41
KH47295,SP568,189333,87
KH65419,SP598,199333,179
KH23011,SP942,314000,161
KH65834,SP342,114000,61
KH88262,SP590,196667,177
KH85678,SP321,107000,172
KH80741,SP420,140000,16
KH99265,SP320,106667,127
KH99031,SP826,275333,22
KH16817,SP869,289667,95
KH16506,SP942,314000,162
KH15077,SP539,179667,66
KH72568,SP977,325667,105
KH61388,SP225,75000,103
KH38578,SP555,185000,42
KH40362,SP540,180000,82
KH89075,SP527,175667,68
KH40132,SP932,310667,135
KH51163,SP461,153667,30
KH88790,SP264,88000,22
KH24109,SP489,163000,83
KH74526,SP475,158333,159
KH98792,SP969,323000,17
KH15786,SP353,117667,157
KH24654,SP166,55333,66
KH55342,SP268,89333,188
KH38743,SP898,299333,182
KH54956,SP903,301000,33
KH39954,SP166,55333,40
KH15441,SP691,230333,191
KH57942,SP474,158000,159
KH97889,SP467,155667,70
KH96333,SP955,318333,58
KH80167,SP483,161000,20
KH37598,SP908,302667,38
KH90928,SP237,79000,71
KH36016,SP719,239667,5
KH19023,SP606,202000,177
KH34371,SP588,196000,135
KH73906,SP342,114000,165
KH42877,SP757,252333,190
KH48337,SP768,256000,132
KH14155,SP142,47333,154
KH14789,SP332,110667,180
KH15565,SP697,232333,78
KH87978,SP156,52000,18
KH78386,SP873,291000,180
KH24209,SP131,43667,102
KH50400,SP883,294333,118
KH29151,SP826,275333,160
KH58937,SP896,298667,166
KH24822,SP346,115333,177
KH56931,SP333,111000,49
KH71668,SP905,301667,183
KH84486,SP336,112000,75
KH79505,SP326,108667,107
KH88830,SP753,251000,89
KH71824,SP955,318333,41
KH11716,SP839,279667,110
KH69951,SP358,119333,84
KH21559,SP321,107000,86
KH36699,SP112,37333,75
KH29291,SP777,259000,119
KH36930,SP582,194000,142
KH49994,SP555,185000,170
KH97186,SP494,164667,93
KH58192,SP678,226000,189
KH73771,SP246,82000,179
KH26035,SP359,119667,113
KH79632,SP443,147667,14
KH37095,SP177,59000,37
KH43311,SP587,195667,104
KH74844,SP962,320667,56
KH14987,SP518,172667,99
KH35814,SP369,123000,85
KH32372,SP344,114667,81
KH82520,SP969,323000,135
KH50031,SP163,54333,158
KH23601,SP996,332000,62
KH29738,SP949,316333,12
KH54162,SP624,208000,122
KH47134,SP230,76667,89
KH35942,SP209,69667,166
KH71674,SP278,92667,12
KH49418,SP281,93667,10
KH90809,SP319,106333,157
KH16517,SP550,183333,84
KH69183,SP503,167667,106
KH25749,SP290,96667,70
KH89206,SP311,103667,50
KH30633,SP460,153333,53
KH16562,SP313,104333,14
KH84788,SP251,83667,9
KH10743,SP606,202000,81
KH92499,SP803,267667,175
KH81062,SP539,179667,61
KH79727,SP391,130333,28
KH67240,SP848,282667,173
KH55004,SP426,142000,84
KH19041,SP991,330333,186
KH67905,SP169,56333,78
KH37007,SP913,304333,195
KH86440,SP745,248333,8
KH70845,SP739,246333,123
KH93333,SP911,303667,168
KH18619,SP143,47667,157
KH10612,SP314,104667,199
KH23735,SP189,63000,99
KH25390,SP555,185000,181
KH74568,SP816,272000,153
KH53406,SP677,225667,127
KH22321,SP563,187667,162
KH25767,SP753,251000,154
KH12591,SP911,303667,33
KH25564,SP780,260000,80
KH74465,SP698,232667,158
KH45065,SP975,325000,183
KH31889,SP275,91667,76
KH76771,SP219,73000,4
KH95047,SP822,274000,80
KH65791,SP147,49000,164
KH58412,SP909,303000,155
KH21815,SP688,229333,38
KH63525,SP221,73667,86
KH90758,SP389,129667,53
KH46691,SP327,109000,181
KH98768,SP640,213333,19
KH70199,SP456,152000,41
KH55648,SP799,266333,180
KH14927,SP542,180667,30
KH13318,SP899,299667,72
KH74156,SP621,207000,74
KH70755,SP805,268333,92
KH29282,SP277,92333,81
KH64914,SP356,118667,81
KH19471,SP778,259333,12
KH28762,SP985,328333,185
KH46442,SP908,302667,35
KH29201,SP124,41333,100
KH35652,SP216,72000,188
KH41041,SP587,195667,72
KH14272,SP268,89333,146
KH29171,SP329,109667,63
KH13262,SP620,206667,103
KH58671,SP105,35000,32
KH89376,SP319,106333,84
KH67254,SP645,215000,28
KH14999,SP538,179333,12
KH54975,SP305,101667,42
KH78525,SP472,157333,16
KH72465,SP833,277667,75
KH35950,SP668,222667,60
KH76110,SP640,213333,56
KH40233,SP844,281333,126
KH23676,SP216,72000,18
KH44497,SP516,172000,183
KH90037,SP154,51333,3
KH57764,SP426,142000,125
KH51701,SP382,127333,92
KH27841,SP591,197000,39
KH18860,SP504,168000,165
KH83533,SP715,238333,39
KH96872,SP965,321667,154
KH46425,SP805,268333,63
KH14856,SP709,236333,18
KH80265,SP239,79667,156
KH44694,SP237,79000,22
KH80634,SP893,297667,122
KH95257,SP727,242333,194
KH58401,SP288,96000,71
KH91666,SP865,288333,32
KH68982,SP470,156667,135
KH55080,SP183,61000,122
KH50114,SP749,249667,126
KH60617,SP344,114667,72
KH82174,SP100,33333,109
KH36255,SP845,281667,199
KH22214,SP582,194000,16
KH27790,SP298,99333,111
KH97758,SP681,227000,43
KH14500,SP941,313667,133
KH76109,SP796,265333,80
KH98486,SP143,47667,178
KH97657,SP940,313333,49
KH28303,SP155,51667,190
KH80739,SP202,67333,183
KH67685,SP154,51333,32
KH26215,SP338,112667,33
KH49554,SP415,138333,32
KH57567,SP107,35667,28
KH83184,SP613,204333,178
KH32999,SP903,301000,82
KH35849,SP493,164333,170
KH16846,SP327,109000,112
KH76745,SP512,170667,18
KH68296,SP877,292333,34
KH46930,SP749,249667,98
KH84352,SP809,269667,149
KH98429,SP240,80000,143
KH93183,SP859,286333,150
KH45159,SP807,269000,42
KH17025,SP184,61333,30
KH34601,SP435,145000,86
KH92830,SP736,245333,139
KH28641,SP780,260000,10
KH54615,SP719,239667,117
KH18711,SP174,58000,171
KH21712,SP429,143000,1
KH13387,SP977,325667,8
KH37367,SP512,170667,87
KH38182,SP744,248000,172
KH54300,SP388,129333,67
KH19808,SP875,291667,146
KH48757,SP462,154000,130
KH70469,SP472,157333,7
KH68877,SP760,253333,102
KH76978,SP851,283667,58
KH36734,SP772,257333,80
KH85287,SP585,195000,132
KH13295,SP586,195333,144
KH41756,SP896,298667,13
KH53643,SP253,84333,38
KH13168,SP779,259667,165
KH68276,SP178,59333,124
KH17853,SP416,138667,9
KH11053,SP711,237000,183
KH26627,SP223,74333,193
KH50022,SP984,328000,14
KH95566,SP106,35333,106
KH83201,SP285,95000,22
KH44028,SP706,235333,149
KH18632,SP263,87667,167
KH18581,SP736,245333,120
KH75833,SP919,306333,17
KH33610,SP369,123000,61
KH64380,SP576,192000,184
KH99440,SP578,192667,143
KH95921,SP273,91000,113
KH63589,SP640,213333,89
KH27395,SP180,60000,74
KH53428,SP338,112667,189
KH76539,SP554,184667,170
KH87870,SP910,303333,194
KH59467,SP231,77000,85
KH87092,SP339,113000,154
KH72675,SP884,294667,100
KH15319,SP955,318333,56
KH28906,SP780,260000,125
KH80874,SP605,201667,25
KH26648,SP688,229333,7
KH32151,SP236,78667,153
KH29077,SP186,62000,111
KH70943,SP520,173333,182
KH30743,SP456,152000,72
KH35058,SP220,73333,135
KH96560,SP761,253667,90
KH41721,SP635,211667,79
KH41412,SP777,259000,161
KH79802,SP533,177667,15
KH61272,SP515,171667,148
KH77283,SP388,129333,10
KH91499,SP888,296000,84
KH13663,SP826,275333,44
KH36158,SP589,196333,165
KH15790,SP245,81667,140
KH10092,SP569,189667,15
KH84384,SP582,194000,139
KH14728,SP407,135667,161
KH11167,SP348,116000,106
KH74178,SP567,189000,167
KH58709,SP399,133000,188
KH65365,SP277,92333,50
KH24496,SP349,116333,104
KH79227,SP851,283667,145
KH18846,SP172,57333,64
KH48907,SP129,43000,26
KH45427,SP515,171667,186
KH72028,SP642,214000,99
KH52166,SP612,204000,76
KH82292,SP467,155667,162
KH71652,SP633,211000,71
KH82307,SP597,199000,160
KH27599,SP235,78333,59
KH15355,SP871,290333,79
KH65521,SP848,282667,6
KH54859,SP863,287667,140
KH59268,SP385,128333,144
KH79621,SP913,304333,30
KH14060,SP362,120667,81
KH51651,SP359,119667,70
KH20864,SP767,255667,147
KH57813,SP415,138333,100
KH27744,SP218,72667,64
KH74625,SP351,117000,99
KH10786,SP216,72000,119
KH97057,SP806,268667,14
KH79851,SP760,253333,147
KH40351,SP524,174667,86
KH74241,SP569,189667,146
KH88553,SP287,95667,65
KH27833,SP525,175000,124
KH87381,SP170,56667,102
KH12202,SP246,82000,170
KH93914,SP295,98333,27
KH25232,SP294,98000,97
KH20878,SP411,137000,163
KH57224,SP610,203333,140
KH39351,SP347,115667,49
KH16332,SP471,157000,54
KH16498,SP203,67667,163
KH79148,SP723,241000,49
KH95889,SP839,279667,110
KH85032,SP804,268000,95
KH82696,SP248,82667,196
KH29568,SP772,257333,60
KH50155,SP634,211333,111
KH24491,SP502,167333,11
KH50610,SP904,301333,38
KH68496,SP288,96000,118
KH27778,SP212,70667,94
KH74300,SP737,245667,57
KH70702,SP520,173333,88
KH15624,SP741,247000,6
KH37620,SP875,291667,120
KH13349,SP352,117333,41
KH86177,SP505,168333,55
KH10501,SP642,214000,33
KH20052,SP240,80000,38
KH96084,SP169,56333,69
KH79268,SP718,239333,41
KH51661,SP209,69667,44
KH48193,SP972,324000,41
KH84613,SP740,246667,188
KH39949,SP406,135333,134
KH14923,SP364,121333,197
