KH56577,SP958,319333,142
KH45663,SP612,204000,142
KH90039,SP247,82333,41
KH10030,SP663,221000,40
KH48078,SP519,173000,82
KH16822,SP843,281000,133
KH87423,SP951,317000,145
KH10478,SP419,139667,107
KH50541,SP712,237333,151
KH66959,SP660,220000,10
KH34040,SP744,248000,22
KH96199,SP244,81333,161
KH86602,SP217,72333,1
KH45834,SP986,328667,2
KH96215,SP801,267000,68
KH96170,SP602,200667,12
KH98223,SP817,272333,108
KH95034,SP456,152000,64
KH14070,SP611,203667,122
KH33421,SP719,239667,190
KH84856,SP739,246333,35
KH24500,SP478,159333,149
KH18887,SP929,309667,64
KH20820,SP595,198333,150
KH93302,SP911,303667,43
KH59185,SP984,328000,80
KH10409,SP985,328333,43
KH60955,SP154,51333,20
KH14892,SP290,96667,150
KH14344,SP325,108333,148
KH82817,SP877,292333,50
KH69600,SP390,130000,115
KH28613,SP792,264000,34
KH96050,SP819,273000,72
KH35709,SP447,149000,64
KH27011,SP151,50333,180
KH26996,SP685,228333,156
KH59600,SP721,240333,3
KH63239,SP963,321000,46
KH65938,SP151,50333,175
KH22165,SP550,183333,129
KH86437,SP789,263000,47
KH59470,SP170,56667,130
KH15769,SP560,186667,195
KH80988,SP114,38000,155
KH28350,SP461,153667,153
KH92344,SP760,253333,65
KH35346,SP535,178333,195
KH87905,SP191,63667,161
KH11188,SP921,307000,86
KH61287,SP267,89000,9
KH85193,SP555,185000,197
KH30341,SP596,198667,187
KH41360,SP108,36000,131
KH86326,SP155,51667,20
KH14114,SP993,331000,13
KH34263,SP176,58667,171
KH24544,SP380,126667,87
KH19229,SP355,118333,15
KH49659,SP509,169667,68
KH96281,SP173,57667,11
KH92961,SP278,92667,115
KH33288,SP332,110667,74
KH84104,SP734,244667,136
KH16193,SP623,207667,68
KH62517,SP752,250667,48
KH77852,SP803,267667,27
KH23739,SP673,224333,80
KH48597,SP995,331667,36
KH91560,SP455,151667,10
KH56088,SP769,256333,4
