1298511,Pb,1.92
1729081,O3,52
1118184,PM10,352
1422025,PM10,120
1775579,Pb,0.24
1112520,NO2,347
1066074,SO2,502
1114476,NO2,306
1160278,SO2,406
1991203,NO2,141
1966701,PM10,162
1907592,NO2,221
1948665,NO2,348
1265131,PM10,36
1711903,PM2.5,21
1729643,CO,35345
1159540,PM2.5,48
1772053,PM2.5,17
1842785,NO2,184
1125283,SO2,548
1445693,PM10,292
1087776,PM10,368
1285910,O3,203
1479846,SO2,137
1700182,Pb,1.90
1750320,SO2,167
1636142,Pb,1.94
1391273,Pb,2.01
1749130,NO2,203
1207229,SO2,531
1019405,SO2,200
1732687,PM2.5,34
1572133,Pb,1.93
1102138,PM2.5,68
1668521,PM2.5,35
1752904,NO2,333
1355892,PM2.5,50
1194738,PM2.5,47
1104193,PM10,287
1386542,SO2,96
1996179,PM10,383
1634633,Pb,1.75
1942533,CO,9728
1838009,PM2.5,12
1613538,PM2.5,17
1512727,SO2,290
1751340,O3,168
1625474,PM2.5,36
1559646,CO,21876
1024337,CO,10330
1298279,PM2.5,17
1529619,Pb,2.10
1516239,PM2.5,23
1302545,PM2.5,61
1621269,PM10,192
1159721,Pb,0.22
1630791,Pb,1.77
1302672,PM2.5,12
1728721,CO,22343
1842174,NO2,166
1289413,PM2.5,70
1423459,O3,73
1963792,PM2.5,64
1910757,CO,39673
1265861,O3,215
1981387,NO2,23
1558157,O3,75
1022567,CO,11213
1069103,CO,33236
1832227,NO2,139
1268965,NO2,224
1899409,NO2,83
1879118,O3,106
1224336,Pb,0.93
1940870,Pb,2.32
1366060,CO,16295
1364127,SO2,429
1782724,SO2,549
1737193,Pb,2.34
1959504,CO,8316
1558081,Pb,0.37
1561694,CO,37175
1458893,PM2.5,50
1977642,NO2,115
1730125,O3,243
1489392,CO,20939
1909300,O3,238
1175496,SO2,467
1930885,SO2,321
1587390,PM2.5,14
1276485,PM10,348
1827638,CO,38695
1663915,NO2,119
1365859,PM10,192
1376163,NO2,224
1232945,PM2.5,44
1770166,SO2,391
1973970,NO2,336
1150406,O3,174
1055334,PM10,91
1138332,CO,26870
1491931,Pb,1.45
1751673,NO2,27
1115217,PM2.5,41
1620348,CO,10909
1873672,CO,17045
1260162,PM10,304
1125593,NO2,345
1598699,PM10,128
1127624,PM2.5,50
1094694,SO2,304
1980958,PM10,32
1607478,PM2.5,49
1920126,PM10,389
1309232,Pb,2.53
1910347,PM2.5,31
1367892,PM10,95
1672191,CO,25663
1254225,Pb,1.63
1940426,O3,123
1764711,SO2,529
1469548,CO,18430
1243061,Pb,3.00
1704615,O3,115
1445607,NO2,145
1652743,NO2,177
1525794,Pb,1.49
1498146,PM2.5,51
1507905,PM10,303
1334470,SO2,421
1617675,O3,155
1710761,NO2,265
1018442,PM10,108
1081742,NO2,303
1909872,O3,153
1584029,PM10,342
1280753,Pb,0.08
1583967,PM2.5,58
1854784,PM10,266
1531634,PM2.5,51
1240847,PM10,65
1355901,PM2.5,58
1813745,Pb,0.61
1057389,SO2,59
1622310,Pb,1.09
1110609,CO,25547
1909697,O3,97
1698067,CO,19877
1650768,O3,65
1114646,SO2,103
1542796,PM10,97
1246250,O3,206
1639982,CO,9756
1464390,CO,14749
1211634,Pb,0.68
1176528,O3,223
1744237,PM10,72
1636769,O3,242
1886068,SO2,477
1293705,O3,261
1633092,O3,196
1266443,CO,21593
1094016,Pb,1.92
1842801,Pb,0.04
1491686,CO,11206
1339199,NO2,24
1460700,O3,172
1888194,PM10,303
1161009,PM2.5,39
1640613,NO2,307
1199283,Pb,0.32
1790483,PM2.5,61
1638259,PM2.5,12
1893464,PM2.5,12
1376352,PM2.5,39
1345080,O3,224
1279453,O3,169
1570507,Pb,1.93
1515227,CO,26145
1517986,PM10,86
1188887,O3,138
1169832,Pb,1.20
1128607,CO,21933
1881235,PM2.5,27
1701656,O3,125
1264835,PM2.5,22
1104089,SO2,131
1524543,SO2,475
1434899,SO2,372
1078191,O3,137
1808888,SO2,125
1777030,SO2,136
1566866,O3,144
1704385,CO,32310
1929015,O3,112
1777039,O3,136
1071012,PM10,42
1959253,Pb,2.08
1057128,SO2,43
1495848,SO2,532
1830726,Pb,1.54
1710606,Pb,1.29
1036080,SO2,153
1944377,PM10,241
1125941,SO2,484
1021012,PM10,81
1280505,NO2,164
1817750,PM2.5,58
1652698,SO2,394
1766617,PM2.5,44
1366728,SO2,238
1600843,Pb,1.90
1913968,Pb,0.47
1965357,PM10,212
1469284,SO2,430
1575607,CO,32595
1973548,PM2.5,39
1542665,O3,222
1708446,O3,152
1206148,SO2,290
1570936,Pb,1.28
1120866,SO2,502
1396870,SO2,330
1861483,SO2,267
1034970,SO2,307
1639305,SO2,431
1653885,NO2,97
1280448,NO2,239
1804125,Pb,0.43
1344580,CO,38478
1753158,PM10,118
1634693,CO,21980
1817526,SO2,339
1820959,PM10,30
1624110,CO,13756
1374999,PM10,367
1507284,NO2,90
1937587,O3,178
1078629,SO2,378
1826662,NO2,36
1398343,SO2,95
1761030,CO,32224
1080710,SO2,296
1538491,CO,24459
1572870,CO,9593
1800455,Pb,1.71
1872749,SO2,225
1772182,SO2,461
1641653,Pb,2.26
1394943,PM2.5,42
1982725,NO2,46
1012174,Pb,3.00
1123438,NO2,55
1602665,NO2,115
1906751,SO2,524
1494055,NO2,338
1622771,CO,18448
1030804,NO2,230
1154257,SO2,523
1072394,O3,300
1943113,CO,27335
1849704,CO,22321
1889603,PM2.5,48
1625858,PM2.5,36
1275182,NO2,277
