1145646,NO2,82
1779648,O3,202
1977611,Pb,2.39
1307568,Pb,2.21
1704627,SO2,448
1633495,O3,74
1624923,PM2.5,60
1883376,SO2,208
1705307,CO,30815
1336263,PM10,376
1498967,PM10,167
1733095,NO2,315
1288814,PM10,98
1075563,Pb,0.91
1840018,PM10,259
1288695,O3,213
1838866,PM2.5,42
1731009,CO,20428
1627778,NO2,48
1886929,O3,130
1312282,SO2,390
1634117,PM10,319
1164755,SO2,114
1738946,NO2,288
1103698,Pb,0.66
1268220,NO2,309
1202606,CO,37394
1597737,SO2,310
1914036,PM2.5,44
1287881,CO,34075
1804253,CO,35792
1084286,SO2,511
1273763,O3,243
1162634,SO2,34
1560339,PM10,320
1876555,PM2.5,58
1677336,O3,105
1816433,O3,239
1559063,PM10,384
1283366,NO2,91
1713531,SO2,326
1612233,NO2,90
1111388,Pb,2.61
1552287,CO,13420
1622384,PM2.5,10
1620113,SO2,285
1666769,O3,215
1582010,NO2,189
1441158,PM10,206
1194026,NO2,327
1564311,O3,181
1016394,CO,37127
1207232,O3,131
1506071,PM2.5,44
1622073,SO2,360
1910831,O3,161
1948072,CO,19913
1765684,NO2,239
1366751,PM2.5,32
1592104,PM10,284
1522042,PM2.5,10
1705292,CO,30639
1446612,CO,12052
1204203,CO,21532
1357066,Pb,1.64
1578608,PM10,329
1025134,SO2,188
1956558,NO2,139
1714187,SO2,404
1511729,CO,12902
1683032,Pb,2.90
1271550,NO2,145
1653979,PM10,149
1522598,CO,26967
1907119,PM10,363
1288869,O3,69
1992564,Pb,0.95
1863580,NO2,35
1009361,PM10,295
1740222,CO,23017
1601918,O3,276
1660823,Pb,0.01
1216518,Pb,2.32
1371889,Pb,0.77
1115222,PM2.5,56
1766321,O3,97
1224722,SO2,302
1529119,PM10,182
1948800,SO2,87
1377339,SO2,436
1872444,NO2,271
1578469,CO,18993
1993410,O3,81
1696231,PM2.5,62
1916822,O3,212
1495412,Pb,2.38
1485508,PM2.5,45
1706045,Pb,1.33
1558150,CO,24715
1994601,NO2,137
1058818,CO,37051
1834077,CO,19052
1368803,SO2,504
1965109,O3,207
1038940,CO,14149
1808681,CO,12502
1745230,CO,25841
1936517,Pb,2.03
1017518,O3,244
1134793,CO,34886
1961252,SO2,389
1132183,SO2,234
1443776,O3,62
1433192,CO,29960
1917211,PM2.5,35
1675351,SO2,26
1588997,SO2,267
1328393,CO,18591
1348012,PM10,172
1868492,SO2,359
1835339,NO2,153
1874043,NO2,320
1187394,PM2.5,46
1801564,SO2,163
1413711,Pb,0.06
1939162,CO,20221
1813430,PM2.5,39
1879384,O3,276
1695960,NO2,133
1476732,NO2,34
1651062,SO2,522
1872948,NO2,243
1483946,SO2,117
1994135,O3,121
1931104,O3,175
1949745,NO2,247
1226324,NO2,132
1714868,CO,32275
1792717,O3,137
1586957,SO2,247
1048145,O3,202
1935116,PM10,360
1876256,O3,212
1902574,CO,21545
1672145,CO,39386
1126319,Pb,2.70
1516162,CO,15922
1435994,SO2,336
1019938,SO2,424
1855537,NO2,259
1196126,PM2.5,65
1846683,NO2,87
1742863,O3,63
1589289,PM10,397
1206557,SO2,435
1150714,PM10,216
1991933,Pb,2.36
1177906,PM2.5,49
1010689,SO2,345
1459105,NO2,64
1480474,CO,28169
1305239,PM10,360
1981779,SO2,374
1154392,SO2,437
1486084,O3,220
1781062,Pb,0.67
1679511,SO2,305
1524693,O3,288
1941067,CO,34623
1710127,PM2.5,70
1866026,NO2,289
1849542,O3,248
1464049,PM2.5,61
1610723,SO2,305
1916429,SO2,519
1045849,NO2,13
1458755,NO2,133
1065025,O3,180
1024934,O3,275
1121914,NO2,311
1312635,SO2,515
1347960,SO2,175
1487203,PM2.5,29
1649327,NO2,277
1103293,NO2,12
1973600,CO,33084
1873035,NO2,115
1078324,NO2,189
1063469,SO2,126
1947797,O3,207
1528288,PM10,98
